USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,REFERRED_BY
user_134,ENVIRONMENT,1774696405,DONATE,
user_172,ENVIRONMENT,1769229716,VIEW,
user_161,COMMUNITY_HEALTH,1777663371,VIEW,
user_3,ENVIRONMENT,1778486240,DONATE,
user_92,COMMUNITY_HEALTH,1774546800,VIEW,
user_85,ENVIRONMENT,1777573858,VIEW,
user_83,CLEAN_WATER,1774683108,VIEW,
user_21,ENVIRONMENT,1774553908,SIGN_UP,
user_160,ENVIRONMENT,1775689535,SIGN_UP,
user_20,ENVIRONMENT,1777292430,DONATE,
user_127,ANIMAL_RESCUE,1768625436,SIGN_UP,
user_73,DISASTER_RELIEF,1772916476,SIGN_UP,
user_192,DISASTER_RELIEF,1770717064,VIEW,
user_8,ENVIRONMENT,1773721390,VIEW,
user_152,CLEAN_WATER,1770722737,SIGN_UP,
user_146,ENVIRONMENT,1770507191,SIGN_UP,
user_117,CLEAN_WATER,1774120240,DONATE,
user_34,COMMUNITY_HEALTH,1771763093,DONATE,
user_54,EDUCATION,1770342322,DONATE,
user_52,ENVIRONMENT,1772895615,VIEW,
user_35,EDUCATION,1770102162,DONATE,
user_106,ANIMAL_RESCUE,1774858655,SIGN_UP,
user_112,ANIMAL_RESCUE,1778083847,SIGN_UP,
user_177,CLEAN_WATER,1775303026,VIEW,
user_187,CLEAN_WATER,1768788277,SIGN_UP,
user_71,EDUCATION,1773890664,SIGN_UP,
user_152,CLEAN_WATER,1772524917,VIEW,
user_68,COMMUNITY_HEALTH,1770299007,SIGN_UP,
user_137,CLEAN_WATER,1777979954,SIGN_UP,
user_48,EDUCATION,1778552347,VIEW,
user_79,COMMUNITY_HEALTH,1774057905,DONATE,
user_137,ENVIRONMENT,1774473659,SIGN_UP,
user_108,CLEAN_WATER,1778365840,VIEW,
user_150,ENVIRONMENT,1774244778,VIEW,
user_40,COMMUNITY_HEALTH,1776374579,SIGN_UP,
user_126,DISASTER_RELIEF,1773007287,DONATE,
user_76,EDUCATION,1774317186,VIEW,
user_31,COMMUNITY_HEALTH,1772976201,VIEW,
user_122,ANIMAL_RESCUE,1769484604,DONATE,
user_79,ANIMAL_RESCUE,1776955692,DONATE,
user_28,ANIMAL_RESCUE,1775282210,VIEW,
user_157,EDUCATION,1773592264,SIGN_UP,
user_189,EDUCATION,1773594060,VIEW,
user_188,EDUCATION,1772942280,VIEW,
user_106,COMMUNITY_HEALTH,1773663836,DONATE,
user_104,ANIMAL_RESCUE,1771449716,SIGN_UP,
user_166,COMMUNITY_HEALTH,1775691921,DONATE,
user_107,ANIMAL_RESCUE,1770839741,DONATE,
user_22,COMMUNITY_HEALTH,1771623274,SIGN_UP,
user_73,ANIMAL_RESCUE,1778203337,VIEW,
user_184,COMMUNITY_HEALTH,1773311779,SIGN_UP,
user_37,COMMUNITY_HEALTH,1774792006,DONATE,
user_10,ANIMAL_RESCUE,1770491156,SIGN_UP,
user_155,COMMUNITY_HEALTH,1778327627,DONATE,
user_158,COMMUNITY_HEALTH,1768887570,SIGN_UP,
user_45,CLEAN_WATER,1776309373,DONATE,
user_82,ANIMAL_RESCUE,1776789046,DONATE,
user_56,ANIMAL_RESCUE,1770899492,SIGN_UP,
user_149,ENVIRONMENT,1772293582,VIEW,
user_39,DISASTER_RELIEF,1769626312,SIGN_UP,
user_181,ENVIRONMENT,1771525942,DONATE,
user_62,COMMUNITY_HEALTH,1772021099,SIGN_UP,
user_58,EDUCATION,1773865475,VIEW,
user_84,COMMUNITY_HEALTH,1771214958,DONATE,
user_13,DISASTER_RELIEF,1771974469,VIEW,
user_128,DISASTER_RELIEF,1775478229,VIEW,
user_2,CLEAN_WATER,1773907079,VIEW,
user_22,COMMUNITY_HEALTH,1774627846,VIEW,
user_61,ENVIRONMENT,1771228195,DONATE,
user_9,EDUCATION,1773870583,SIGN_UP,
user_29,COMMUNITY_HEALTH,1770325393,SIGN_UP,
user_41,CLEAN_WATER,1775951493,VIEW,
user_15,CLEAN_WATER,1773113822,VIEW,
user_110,CLEAN_WATER,1769614362,SIGN_UP,
user_44,COMMUNITY_HEALTH,1776656876,VIEW,
user_137,EDUCATION,1769414919,DONATE,
user_111,COMMUNITY_HEALTH,1771373925,SIGN_UP,
user_55,DISASTER_RELIEF,1773169035,VIEW,
user_186,COMMUNITY_HEALTH,1771709714,DONATE,
user_104,ANIMAL_RESCUE,1774795193,SIGN_UP,
user_11,COMMUNITY_HEALTH,1769291261,VIEW,
user_113,ENVIRONMENT,1775003482,DONATE,
user_194,ENVIRONMENT,1777824395,SIGN_UP,
user_144,CLEAN_WATER,1773443400,DONATE,
user_53,DISASTER_RELIEF,1769946092,VIEW,
user_48,EDUCATION,1776991964,DONATE,
user_64,DISASTER_RELIEF,1776602004,DONATE,
user_199,COMMUNITY_HEALTH,1769455337,VIEW,
